gene	entrezgene	name	PC1
SERPING1	710	serpin family G member 1	0.0912671453049661
ANKRD22	118932	ankyrin repeat domain 22	0.0891779841491528
EPSTI1	94240	epithelial stromal interaction 1	0.086759845521621
WARS	7453	tryptophanyl-tRNA synthetase	0.0858037172086327
TCN2	6948	transcobalamin 2	0.0856556592919293
RP11-10J5.1			0.085242090088922
UBE2L6	9246	ubiquitin conjugating enzyme E2 L6	0.0844957277531177
DYSF	8291	dysferlin	0.0844899406948284
SLAMF8	56833	SLAM family member 8	0.0841561344944913
ETV7	51513	ETS variant 7	0.0838747287867385
MYOF	26509	myoferlin	0.0838134027805753
GBP5	115362	guanylate binding protein 5	0.0835520267965795
RP11-638I2.8			0.0831316749231493
SMCO4	56935	single-pass membrane protein with coiled-coil domains 4	0.0830846675337657
PARP14	54625	poly(ADP-ribose) polymerase family member 14	0.0826123328307729
CLEC6A	93978	C-type lectin domain containing 6A	0.0824906942161526
SECTM1	6398	secreted and transmembrane 1	0.0822251986835548
GBP4	115361	guanylate binding protein 4	0.08160631118105
IRF1	3659	interferon regulatory factor 1	0.0811983155829596
OAS3	4940	2'-5'-oligoadenylate synthetase 3	0.0810904626269619
EPB41L3	23136	erythrocyte membrane protein band 4.1 like 3	0.0809652167761537
FBXO6	26270	F-box protein 6	0.080719252723893
IFI44L	10964	interferon induced protein 44 like	0.0806438153888052
FGL2	10875	fibrinogen like 2	0.0805062529851486
IRF7	3665	interferon regulatory factor 7	0.0803904427511592
IFIH1	64135	interferon induced with helicase C domain 1	0.0802599852245785
SLC31A2	1318	solute carrier family 31 member 2	0.0796623982211412
IL15RA	3601	interleukin 15 receptor subunit alpha	0.0796621661841543
IDO1	3620	indoleamine 2,3-dioxygenase 1	0.0795861611185259
TGM2	7052	transglutaminase 2	0.079407168258672
TNFAIP6	7130	TNF alpha induced protein 6	0.0791343460316177
IFIT2	3433	interferon induced protein with tetratricopeptide repeats 2	0.0789607073794578
MX1	4599	MX dynamin like GTPase 1	0.0788513804682642
APOL6	80830	apolipoprotein L6	0.0783024423170056
IL15	3600	interleukin 15	0.0782722458781071
TNFAIP2	7127	TNF alpha induced protein 2	0.0780977578437313
LOC101930164			0.0778651699792686
TFEC	22797	transcription factor EC	0.0776956964224442
STX11	8676	syntaxin 11	0.0774386513865237
WDFY1	57590	WD repeat and FYVE domain containing 1	0.0772808620977864
PSMB9	5698	proteasome subunit beta 9	0.0772346652552907
RP11-295G20.2			0.0771653921680024
FRMD3	257019	FERM domain containing 3	0.0768600512284113
KYNU	8942	kynureninase	0.0767938965087441
ASPHD2	57168	aspartate beta-hydroxylase domain containing 2	0.076598226732384
NOD2	64127	nucleotide binding oligomerization domain containing 2	0.0764468856434328
TLR7	51284	toll like receptor 7	0.0762886789058822
TJP2	9414	tight junction protein 2	0.0761344904779538
CASP7	840	caspase 7	0.0759114065369523
SLC8A1	6546	solute carrier family 8 member A1	0.0758722142468875
PLSCR1	5359	phospholipid scramblase 1	0.0757944608218819
SCIMP	388325	SLP adaptor and CSK interacting membrane protein	0.0752631190468319
MCTP1	79772	multiple C2 and transmembrane domain containing 1	0.0751766867488239
ICAM1	3383	intercellular adhesion molecule 1	0.0749922019682436
SPTLC2	9517	serine palmitoyltransferase long chain base subunit 2	0.0748767017721817
TLR1	7096	toll like receptor 1	0.0748563851248473
IFIT1	3434	interferon induced protein with tetratricopeptide repeats 1	0.0747735175117069
PDCD1LG2	80380	programmed cell death 1 ligand 2	0.0747513522811131
GRAMD1B	57476	GRAM domain containing 1B	0.0746496171122641
IL31RA	133396	interleukin 31 receptor A	0.0745369664593015
KREMEN1	83999	kringle containing transmembrane protein 1	0.0740722815491588
IFI44	10561	interferon induced protein 44	0.0737870498697421
SAMD4A	23034	sterile alpha motif domain containing 4A	0.0737222056947139
NADK	65220	NAD kinase	0.0730715433909374
C3AR1	719	complement C3a receptor 1	0.0730094182049288
ATF5	22809	activating transcription factor 5	0.0727615123855017
RP4-620F22.2			0.0726489459243041
DDX58	23586	DExD/H-box helicase 58	0.0725657849148609
SNX27	81609	sorting nexin family member 27	0.0721481684606874
SERPINB9	5272	serpin family B member 9	0.0721475827601318
ACOT9	23597	acyl-CoA thioesterase 9	0.0720241450845376
CD300E	342510	CD300e molecule	0.0719952895562232
CLEC4D	338339	C-type lectin domain family 4 member D	0.0719908722659672
GLT1D1	144423	glycosyltransferase 1 domain containing 1	0.0712941568666474
ELF4	2000	E74 like ETS transcription factor 4	0.071281570115859
HIATL1			0.0709618527447809
SIGLEC1	6614	sialic acid binding Ig like lectin 1	0.0709557167793286
LILRA6	79168	leukocyte immunoglobulin like receptor A6	0.0709386076497183
MPZL2	10205	myelin protein zero like 2	0.0703846099890495
VRK2	7444	vaccinia related kinase 2	0.0703387218437592
LTBR	4055	lymphotoxin beta receptor	0.0700776787054969
CXCL9	4283	C-X-C motif chemokine ligand 9	0.0700070856593057
MTF1	4520	metal regulatory transcription factor 1	0.0698088515154114
SCPEP1	59342	serine carboxypeptidase 1	0.0697725339111771
MLKL	197259	mixed lineage kinase domain like pseudokinase	0.069750815767767
FNIP2	57600	folliculin interacting protein 2	0.0695751331375266
SCARB2	950	scavenger receptor class B member 2	0.06951229124101
FKBP15	23307	FK506 binding protein 15	0.0695017251500904
PVRL2			0.0692985485439537
STAC3	246329	SH3 and cysteine rich domain 3	0.0692719157690576
C4orf32			0.0690910523811911
AGPAT3	56894	1-acylglycerol-3-phosphate O-acyltransferase 3	0.0690704192571954
GBP3	2635	guanylate binding protein 3	0.0690325199408212
NFIX	4784	nuclear factor I X	0.0689891510533682
PARP12	64761	poly(ADP-ribose) polymerase family member 12	0.0688722689078074
LHFPL2	10184	LHFPL tetraspan subfamily member 2	0.0688588109821767
APOL2	23780	apolipoprotein L2	0.0686903921844074
ITPRIPL2	162073	ITPRIP like 2	0.0684735594673851
GRINA	2907	glutamate ionotropic receptor NMDA type subunit associated protein 1	0.0684360506407162
APOL3	80833	apolipoprotein L3	0.0684043350180909
KCNJ2	3759	potassium voltage-gated channel subfamily J member 2	0.0680201544614094
CNTLN	54875	centlein	0.0680132025823916
LRRK1	79705	leucine rich repeat kinase 1	0.0675921023556858
B4GALT5	9334	beta-1,4-galactosyltransferase 5	0.0673277980381285
