gene	entrezgene	name	PC1
FCGR1B	2210	Fc fragment of IgG receptor Ib	0.107591655177899
ANKRD22	118932	ankyrin repeat domain 22	0.103665247179837
DYSF	8291	dysferlin	0.101028704448287
SMCO4	56935	single-pass membrane protein with coiled-coil domains 4	0.0983660972451295
MYOF	26509	myoferlin	0.0974067042341083
P2RY13	53829	purinergic receptor P2Y13	0.0968220665123917
RP11-242C19.2			0.0967360473378254
KCNJ2	3759	potassium voltage-gated channel subfamily J member 2	0.0964422188710649
LRRK2	120892	leucine rich repeat kinase 2	0.096040189068423
ICAM1	3383	intercellular adhesion molecule 1	0.0951703051154036
LAP3	51056	leucine aminopeptidase 3	0.0951446201766541
EPSTI1	94240	epithelial stromal interaction 1	0.0949222618516543
IRF7	3665	interferon regulatory factor 7	0.0948706369541495
JAK2	3717	Janus kinase 2	0.094771142117725
FGD2	221472	FYVE, RhoGEF and PH domain containing 2	0.0947378746200795
TRIM21	6737	tripartite motif containing 21	0.0945248795864561
CASP7	840	caspase 7	0.0942113002648096
MVP	9961	major vault protein	0.0939375434798612
P2RX7	5027	purinergic receptor P2X 7	0.093355528724699
CIITA	4261	class II major histocompatibility complex transactivator	0.0932227610422673
DAPP1	27071	dual adaptor of phosphotyrosine and 3-phosphoinositides 1	0.0929266077487398
CXorf21	80231	chromosome X open reading frame 21	0.0928622892941913
GK-AS1	100873902	GK antisense RNA 1	0.0928268343362158
STEAP4	79689	STEAP4 metalloreductase	0.0924342514292654
FBXO6	26270	F-box protein 6	0.0923627222448605
BCL2A1	597	BCL2 related protein A1	0.0922831729051622
GK-IT1	106480740	GK intronic transcript 1	0.0918037375294319
LPCAT2	54947	lysophosphatidylcholine acyltransferase 2	0.0913724437915557
IL31RA	133396	interleukin 31 receptor A	0.0908479064712121
FAS	355	Fas cell surface death receptor	0.0905614358063999
MLKL	197259	mixed lineage kinase domain like pseudokinase	0.0901639888410848
RP11-638I2.8			0.0900928639120681
APOL2	23780	apolipoprotein L2	0.0899200990595942
FKBP15	23307	FK506 binding protein 15	0.0892859427877382
TNS3	64759	tensin 3	0.0890360786245335
SORT1	6272	sortilin 1	0.0889264014136432
CCR2	729230	C-C motif chemokine receptor 2	0.0885754301495698
GBP4	115361	guanylate binding protein 4	0.0885669908846494
WDFY3	23001	WD repeat and FYVE domain containing 3	0.0882873317594549
CLEC6A	93978	C-type lectin domain containing 6A	0.088121667062964
PRRG4	79056	proline rich and Gla domain 4	0.0880229897129488
MSRB1	51734	methionine sulfoxide reductase B1	0.0879514740799218
MEFV	4210	MEFV, pyrin innate immunity regulator	0.0876143054354295
ERLIN1	10613	ER lipid raft associated 1	0.086748500517985
SLC6A12	6539	solute carrier family 6 member 12	0.0866910246977989
TLR8	51311	toll like receptor 8	0.0866402010142224
ITPRIPL2	162073	ITPRIP like 2	0.0864632137734448
FAM26F			0.0861072443313722
UBE2D1	7321	ubiquitin conjugating enzyme E2 D1	0.0860827793478292
LINC00189	193629	long intergenic non-protein coding RNA 189	0.0859965548567464
MTHFD2	10797	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase	0.0857598603994656
NCF4	4689	neutrophil cytosolic factor 4	0.0855325148229374
MB21D1			0.0850252448923149
TLR4	7099	toll like receptor 4	0.0849887600973652
HLX	3142	H2.0 like homeobox	0.0846424084858024
KMO	8564	kynurenine 3-monooxygenase	0.0845309647380299
RP11-468E2.5			0.0843507245530738
TMEM106A	113277	transmembrane protein 106A	0.0838244677585428
LOC101930164			0.0837005525785922
MAFB	9935	MAF bZIP transcription factor B	0.0836831677096113
GLT1D1	144423	glycosyltransferase 1 domain containing 1	0.0834809948093855
RNF217	154214	ring finger protein 217	0.0834592880355761
HIATL1			0.0833363343212979
RTP4	64108	receptor transporter protein 4	0.0830612055691565
OAS3	4940	2'-5'-oligoadenylate synthetase 3	0.0829072791830991
PSMB9	5698	proteasome subunit beta 9	0.0827551736570936
DUSP6	1848	dual specificity phosphatase 6	0.0819053071376837
SAMD4A	23034	sterile alpha motif domain containing 4A	0.0813387767876487
SPTLC2	9517	serine palmitoyltransferase long chain base subunit 2	0.0808077331528544
RP4-620F22.2			0.080594479339954
CHMP5	51510	charged multivesicular body protein 5	0.0804585499193653
CNIH4	29097	cornichon family AMPA receptor auxiliary protein 4	0.0797774498879791
FAR1	84188	fatty acyl-CoA reductase 1	0.079583783766544
OAS2	4939	2'-5'-oligoadenylate synthetase 2	0.0795793395262158
NCF1B	654816	neutrophil cytosolic factor 1B pseudogene	0.0795702186707048
DDX60	55601	DExD/H-box helicase 60	0.0791057472350302
ASPHD2	57168	aspartate beta-hydroxylase domain containing 2	0.0790594354876428
CTSZ	1522	cathepsin Z	0.0788077849142002
AC079630.4			0.0784170704658361
SLC27A3	11000	solute carrier family 27 member 3	0.078237795491707
PVRL2			0.0780464893436404
