gene	entrezgene	name	PC1
ERMN	57471	ermin	0.22873944601927
SNORD69	692109	small nucleolar RNA, C/D box 69	0.203773348800326
FBXO33	254170	F-box protein 33	0.202141931824335
APBA2	321	amyloid beta precursor protein binding family A member 2	0.189329051477654
NDFIP1	80762	Nedd4 family interacting protein 1	0.184570575825593
TOB1	10140	transducer of ERBB2, 1	0.178994917671118
TOMM20	9804	translocase of outer mitochondrial membrane 20	0.170701723837826
IGLV1-47	28822	immunoglobulin lambda variable 1-47	0.167888363352571
SNORA55	677834	small nucleolar RNA, H/ACA box 55	0.167673634053084
LINC01126	100129726	long intergenic non-protein coding RNA 1126	0.163883664654504
SNORD91B	692208	small nucleolar RNA, C/D box 91B	0.163347185785823
RCL1	10171	RNA terminal phosphate cyclase like 1	0.160113628825063
AC007036.4			0.155474692056982
RP11-269F20.1			0.152191509042083
RP11-56G10.2			0.146555618502746
MIRLET7F1	406888	microRNA let-7f-1	0.138813160350428
RP4-657D16.3			0.135211437697779
MIR3136	100422859	microRNA 3136	0.134581084790513
HIST1H1A	3024	histone cluster 1 H1 family member a	0.13420984865926
ANK1	286	ankyrin 1	0.134011103211051
IGKV3D-20	28874	immunoglobulin kappa variable 3D-20	0.131325521838222
RP11-796E2.4			0.127688847498473
RSPH4A	345895	radial spoke head 4 homolog A	0.126281750415738
FECH	2235	ferrochelatase	0.123579291397927
FAM162A	26355	family with sequence similarity 162 member A	0.123125301814434
RP11-692D12.1			0.121762770129431
MIR3115	100422866	microRNA 3115	0.119968736442591
PLEK2	26499	pleckstrin 2	0.118820197972779
GZMB	3002	granzyme B	0.118675972560793
USP53	54532	ubiquitin specific peptidase 53	0.118374826226249
KIR2DL3	3804	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3	0.11798386235372
GPR146	115330	G protein-coupled receptor 146	0.114211932533847
AC091633.2			0.109848714316702
CXXC5	51523	CXXC finger protein 5	0.107913210744435
MORC4	79710	MORC family CW-type zinc finger 4	0.103603297194099
TMEM123	114908	transmembrane protein 123	0.0996687313059532
C1orf145			0.0990301352560449
LOC102724850	102724850	uncharacterized LOC102724850	0.0955647626182168
RP11-50B3.4			0.0935904209566129
RPS21	6227	ribosomal protein S21	0.0913734413349294
AC023590.1			0.0904288290681034
IGKV1-6	28943	immunoglobulin kappa variable 1-6	0.0881295275538524
RP11-493P1.2			0.085656614461091
MIR553	693138	microRNA 553	0.0855190660973794
RNA5SP132	100873401	RNA, 5S ribosomal pseudogene 132	0.0819681619369447
MRPL55	128308	mitochondrial ribosomal protein L55	0.0815823643555082
GSPT2	23708	G1 to S phase transition 2	0.0791163195342352
ZFP69B	65243	ZFP69 zinc finger protein B	0.078228128865345
RNU4ATAC	100151683	RNA, U4atac small nuclear (U12-dependent splicing)	0.0766634138655884
RNU6-474P	106481329	RNA, U6 small nuclear 474, pseudogene	0.0748960711316862
MZB1	51237	marginal zone B and B1 cell specific protein	0.0732010767738252
CTD-2227C6.2			0.0731718817304127
RWDD4	201965	RWD domain containing 4	0.072529997132422
MYBL2	4605	MYB proto-oncogene like 2	0.071373463142776
HOXC13	3229	homeobox C13	0.0705911039859332
RNU6-385P			0.0697228495484671
DSERG1			0.0684054093557721
AP001062.9			0.0680264637245916
SNORD116-12	100033424	small nucleolar RNA, C/D box 116-12	0.0646615818046294
RP11-307L3.4			0.0638279012101758
CDKN3	1033	cyclin dependent kinase inhibitor 3	0.0622847687893949
RNU6-479P	106481331	RNA, U6 small nuclear 479, pseudogene	0.0621203708472088
LOC100652894			0.0592048939111418
YPLR6490			0.0581018171160018
MIR101-1	406893	microRNA 101-1	0.0564054630394122
SNORA71A	26777	small nucleolar RNA, H/ACA box 71A	0.0542120061669628
RNU6-150P	106479632	RNA, U6 small nuclear 150, pseudogene	0.0537936208056052
